HOME_TEAM_ID,predictions
Nuggets,1
Timberwolves,1
Bucks,1
Spurs,1
Warriors,1
Kings,1
Trail Blazers,1
Clippers,1
Rockets,1
Raptors,1
Grizzlies,1
Nuggets,1
Lakers,1
Pelicans,1
Trail Blazers,1
Jazz,1
Timberwolves,1
Bulls,1
Wizards,1
Magic,1
Kings,1
Hornets,1
Rockets,1
Raptors,1
Pacers,1
Thunder,1
Spurs,1
Wizards,1
Lakers,1
Bucks,1
Knicks,1
Clippers,1
Kings,1
Spurs,1
Mavericks,1
Timberwolves,1
Bulls,1
Heat,1
Pacers,1
Cavaliers,1
Magic,1
Celtics,1
Rockets,1
Suns,1
Lakers,1
Wizards,1
Kings,1
Warriors,1
Bucks,1
Mavericks,1
Bulls,1
Wizards,1
Cavaliers,1
Hawks,1
Magic,1
Nets,1
Clippers,1
Clippers,1
Cavaliers,1
Suns,1
Heat,1
Lakers,1
Mavericks,1
Pelicans,1
Hawks,1
Wizards,1
76ers,1
Magic,1
Hornets,1
Spurs,1
Kings,1
Raptors,1
Cavaliers,1
Grizzlies,1
Suns,1
Lakers,1
Nets,1
Celtics,1
Hornets,1
Magic,1
Pacers,1
Mavericks,1
Pelicans,1
Jazz,1
Hawks,1
Warriors,1
Thunder,1
Timberwolves,1
76ers,1
Pistons,1
Knicks,1
Wizards,1
Nets,1
Bulls,1
Clippers,1
Suns,1
Jazz,1
Mavericks,1
Kings,1
Grizzlies,1
Celtics,1
Pistons,1
Rockets,1
Mavericks,1
Nuggets,1
Trail Blazers,1
Thunder,1
Suns,1
Nuggets,1
Grizzlies,1
Raptors,1
Nets,1
Wizards,1
Knicks,1
Pistons,1
Pacers,1
Lakers,1
Timberwolves,1
Trail Blazers,1
Kings,1
Celtics,1
Clippers,1
Warriors,1
Bucks,1
Grizzlies,1
Nets,1
Hawks,1
Heat,1
Celtics,1
76ers,1
Bulls,1
Timberwolves,1
Thunder,1
Nuggets,1
Rockets,1
Kings,1
Lakers,1
Clippers,1
Warriors,1
Pelicans,1
Bucks,1
Knicks,1
Pacers,1
76ers,1
Thunder,1
Grizzlies,1
Spurs,1
Mavericks,1
Raptors,1
Celtics,1
Pelicans,1
Nets,1
Hawks,1
Warriors,1
Bulls,1
Timberwolves,1
Rockets,1
Thunder,1
Jazz,1
Knicks,1
Nuggets,1
Spurs,1
Cavaliers,1
Wizards,1
Hawks,1
Nets,1
Hornets,1
Heat,1
Suns,1
Grizzlies,1
Bucks,1
Celtics,1
Timberwolves,1
Trail Blazers,1
Rockets,1
Jazz,1
Mavericks,1
Pistons,1
Magic,1
Raptors,1
Hawks,1
Celtics,1
Knicks,1
Bulls,1
Rockets,1
Suns,1
Pelicans,1
Warriors,1
Heat,1
Trail Blazers,1
Nets,1
Cavaliers,1
Knicks,1
Pistons,1
Magic,1
Heat,1
Hornets,1
Timberwolves,1
Pelicans,1
Thunder,1
Spurs,1
Warriors,1
Bulls,1
76ers,1
Timberwolves,1
Cavaliers,1
Pistons,1
Jazz,1
Nuggets,1
Spurs,1
Hawks,1
Pelicans,1
Magic,1
Grizzlies,1
Trail Blazers,1
Knicks,1
Pistons,1
Heat,1
Jazz,1
Timberwolves,1
Thunder,1
Bulls,1
Mavericks,1
Bucks,1
Grizzlies,1
Heat,1
Raptors,1
Cavaliers,1
76ers,1
Hornets,1
Pacers,1
Nets,1
Trail Blazers,1
Spurs,1
Knicks,1
Kings,1
Celtics,1
Hawks,1
Wizards,1
Cavaliers,1
Nuggets,1
Clippers,1
Pistons,1
Nets,1
Rockets,1
Pelicans,1
Bucks,1
Suns,1
Lakers,1
Clippers,1
Pacers,1
Magic,1
Cavaliers,1
Mavericks,1
Celtics,1
Spurs,1
Kings,1
Trail Blazers,1
Wizards,1
Raptors,1
Bucks,1
Rockets,1
Pistons,1
Cavaliers,1
Hornets,1
Wizards,1
Pacers,1
Nets,1
Clippers,1
Heat,1
Grizzlies,1
Hawks,1
Kings,1
Lakers,1
Nuggets,1
Rockets,1
Pelicans,1
Pistons,1
Celtics,1
Nets,1
Jazz,1
Timberwolves,1
Thunder,1
Mavericks,1
Clippers,1
Raptors,1
Knicks,1
Lakers,1
Bucks,1
Trail Blazers,1
Bulls,1
Jazz,1
Kings,1
Suns,1
Thunder,1
Pacers,1
Celtics,1
Wizards,1
76ers,1
Magic,1
Hornets,1
Pistons,1
Warriors,1
Raptors,1
Pacers,1
Suns,1
Timberwolves,1
Kings,1
Thunder,1
Hawks,1
Trail Blazers,1
Wizards,1
Rockets,1
76ers,1
Cavaliers,1
Pacers,1
Magic,1
Pistons,1
Mavericks,1
Nuggets,1
Warriors,1
Lakers,1
Bucks,1
Raptors,1
Rockets,1
Thunder,1
Pelicans,1
Wizards,1
76ers,1
Cavaliers,1
Magic,1
Nets,1
Pacers,1
Timberwolves,1
Grizzlies,1
Nuggets,1
Knicks,1
Suns,1
Mavericks,1
Jazz,1
Pelicans,1
Celtics,1
Warriors,1
Kings,1
Bulls,1
76ers,1
Hawks,1
Pistons,1
Magic,1
Wizards,1
Knicks,1
Timberwolves,1
Thunder,1
Lakers,1
Trail Blazers,1
Raptors,1
Jazz,1
Jazz,1
Bucks,1
Bulls,1
Heat,1
Hawks,1
Hornets,1
Clippers,1
Lakers,1
Raptors,1
Bulls,1
Warriors,1
Thunder,1
Trail Blazers,1
Nuggets,1
Clippers,1
Jazz,1
Mavericks,1
Rockets,1
Nets,1
Wizards,1
76ers,1
Cavaliers,1
Pacers,1
Raptors,1
Warriors,1
Nuggets,1
Lakers,1
Trail Blazers,1
Bulls,1
Wizards,1
Cavaliers,1
Hawks,1
Hornets,1
Rockets,1
Spurs,1
Jazz,1
Suns,1
Heat,1
Warriors,1
Thunder,1
Pacers,1
